0, 11, 19, 20, 21, 24, 11, -1, -10, 4, -12, -27, -37, -16, -35, -48, -55, -37, -55, -64, -71
0, 27, 34, 37, 38, -16, -31, -35, -36, -36, -55, -61, -63, -52, -69, -75, -78, -64, -83, -91, -94
0, -4, -15, -28, -36, -2, -27, -44, -53, -11, -37, -41, -41, -24, -42, -33, -26, -38, -53, -52, -49
0, 14, 13, 5, -3, 5, -12, -28, -38, -13, -28, -40, -50, -32, -49, -55, -57, -49, -66, -71, -71
0, 12, 1, -14, -32, -14, -35, -51, -65, -37, -62, -80, -94, -58, -83, -93, -99, -76, -98, -105, -110
0, 5, -11, -34, -58, -29, -74, -105, -124, -55, -103, -127, -139, -83, -124, -139, -143, -108, -138, -147, -152
0, 32, 38, 34, 31, 27, 2, -12, -17, -2, -36, -43, -40, -33, -59, -62, -58, -64, -81, -88, -89
0, 13, 11, -2, -17, 21, 4, -10, -23, -4, -31, -55, -71, -32, -58, -61, -58, -60, -75, -72, -69
0, 21, 24, 19, 17, 30, 16, 7, 5, 8, -11, -14, -12, -16, -33, -23, -11, -39, -50, -46, -39
0, 20, 18, 6, -4, 0, -32, -53, -65, -30, -74, -91, -96, -60, -97, -110, -112, -89, -119, -132, -139
0, 11, 6, 0, -9, -19, -38, -49, -55, -38, -63, -77, -85, -56, -84, -101, -108, -70, -93, -103, -107
0, 30, 34, 31, 27, 2, -14, -21, -25, -24, -45, -50, -52, -49, -67, -72, -75, -70, -89, -99, -107
0, 15, 13, 2, -10, 15, -9, -35, -51, -9, -33, -56, -71, -37, -59, -76, -88, -63, -82, -90, -97
0, 12, 9, 0, -7, 0, -20, -33, -39, -16, -35, -43, -46, -34, -51, -57, -59, -50, -62, -67, -70
0, 16, 20, 19, 16, 8, -11, -26, -36, -11, -31, -46, -56, -31, -50, -63, -72, -50, -67, -76, -83
0, 17, 13, 3, -8, 3, -11, -25, -37, -18, -32, -46, -59, -39, -53, -63, -71, -58, -69, -73, -77
0, -5, -15, -27, -33, 2, -23, -41, -53, -7, -36, -44, -46, -21, -42, -35, -28, -37, -54, -54, -51
0, -1, -9, -21, -26, 10, -15, -35, -49, -1, -29, -39, -42, -16, -36, -28, -21, -34, -51, -51, -47
0, -3, -12, -24, -31, 9, -17, -37, -49, 0, -28, -38, -41, -14, -34, -27, -20, -29, -44, -42, -38
0, 12, 6, -2, -13, -21, -47, -63, -71, -38, -60, -69, -73, -52, -72, -76, -78, -65, -77, -78, -78
0, 8, 7, 0, -7, 7, -9, -22, -31, -11, -32, -44, -51, -32, -51, -60, -66, -53, -68, -75, -81
0, 6, -3, -17, -33, -36, -70, -94, -110, -59, -92, -113, -129, -81, -112, -133, -148, -102, -129, -142, -152
0, 20, 26, 28, 27, -1, -9, -14, -17, -16, -22, -27, -32, -29, -34, -42, -49, -39, -47, -52, -56
0, -20, -29, -37, -44, -7, -21, -34, -45, -10, -22, -34, -44, -17, -33, -44, -52, -27, -41, -47, -52
0, -17, -21, -25, -27, 1, -7, -16, -23, 1, -5, -14, -22, -3, -14, -25, -33, -10, -22, -30, -35
0, 18, 20, 19, 15, -12, -29, -37, -42, -31, -47, -57, -64, -46, -64, -78, -87, -59, -78, -89, -96
0, 21, 26, 26, 24, -2, -16, -24, -29, -22, -39, -49, -57, -40, -58, -72, -82, -55, -76, -90, -99
0, 1, -7, -20, -33, -1, -15, -27, -37, -12, -30, -30, -29, -24, -39, -28, -19, -37, -49, -43, -36
0, 0, -9, -24, -37, -5, -18, -28, -34, -18, -38, -51, -58, -31, -52, -47, -38, -46, -60, -57, -51
0, 3, 1, -3, -10, 0, -4, -7, -11, -13, -26, -37, -42, -27, -49, -62, -68, -39, -56, -56, -54
0, 7, 11, 10, 9, 8, 0, -8, -14, -3, -16, -25, -32, -16, -29, -38, -43, -29, -40, -47, -52
0, 8, 5, 0, -8, -8, -25, -38, -46, -22, -37, -45, -52, -35, -50, -56, -60, -48, -59, -63, -66
0, 5, 5, 1, -3, 10, 0, -9, -17, -1, -12, -22, -29, -15, -27, -35, -39, -29, -39, -44, -48
0, -68, -123, -166, -215, -160, -214, -248, -273, -150, -200, -236, -268, -139, -185, -220, -249, -131, -166, -191, -215
0, 16, 16, 12, 5, 2, -13, -25, -32, -14, -28, -38, -45, -30, -41, -47, -52, -44, -53, -56, -59
