860, 244, 0, 806, 269, -23, 761, 315, -36, 725, 351, -48, 690, 374, -60, 795, 409, -19, 773, 472, -36, 760, 511, -52, 751, 546, -64, 834, 419, -23, 828, 492, -39, 824, 539, -54, 820, 580, -66, 872, 410, -31, 885, 478, -51, 894, 523, -65, 898, 562, -76, 906, 388, -41, 930, 438, -59, 946, 471, -66, 958, 503, -72
830, 237, 0, 770, 260, -14, 718, 306, -18, 680, 336, -22, 647, 351, -26, 755, 387, 1, 732, 442, -7, 719, 475, -18, 709, 503, -27, 788, 397, -2, 775, 459, -8, 766, 497, -16, 758, 526, -24, 822, 394, -10, 819, 452, -18, 815, 486, -25, 808, 515, -31, 855, 379, -21, 865, 422, -27, 869, 448, -29, 872, 473, -31
842, 222, 0, 790, 246, -13, 747, 296, -17, 719, 335, -22, 689, 358, -26, 776, 372, 3, 760, 425, -7, 750, 456, -19, 743, 483, -28, 806, 382, -1, 795, 442, -9, 786, 477, -19, 777, 506, -26, 837, 378, -9, 828, 433, -18, 820, 465, -25, 810, 493, -30, 869, 364, -20, 871, 406, -27, 870, 433, -30, 866, 457, -32
858, 224, 0, 807, 249, -17, 765, 293, -28, 728, 328, -38, 692, 345, -48, 793, 372, -15, 769, 432, -31, 755, 469, -46, 744, 501, -57, 829, 383, -21, 822, 453, -34, 817, 497, -47, 812, 534, -57, 864, 377, -30, 872, 444, -46, 876, 484, -57, 876, 519, -65, 897, 358, -40, 920, 403, -55, 932, 434, -60, 940, 464, -64
809, 226, 0, 747, 249, -18, 691, 285, -30, 648, 305, -42, 611, 304, -56, 734, 377, -22, 705, 437, -40, 687, 473, -54, 673, 505, -66, 776, 390, -29, 769, 462, -43, 765, 507, -56, 762, 544, -67, 815, 385, -39, 828, 452, -57, 835, 495, -72, 840, 531, -83, 849, 366, -51, 877, 412, -68, 895, 444, -76, 909, 472, -82
670, 218, 0, 607, 238, -26, 544, 265, -45, 490, 281, -62, 444, 281, -81, 582, 362, -32, 546, 421, -54, 524, 457, -72, 507, 491, -85, 622, 378, -38, 610, 452, -55, 604, 499, -70, 600, 540, -82, 661, 376, -46, 673, 446, -68, 680, 491, -83, 684, 529, -93, 697, 358, -57, 723, 408, -77, 739, 442, -84, 750, 473, -90
502, 156, 0, 434, 170, -22, 383, 223, -31, 353, 271, -39, 317, 302, -48, 399, 305, -18, 366, 365, -37, 346, 402, -51, 331, 437, -63, 436, 320, -24, 417, 393, -41, 405, 442, -57, 397, 484, -70, 472, 317, -33, 471, 387, -54, 469, 435, -70, 467, 477, -82, 508, 300, -45, 522, 351, -65, 531, 388, -75, 539, 423, -83
462, 138, 0, 397, 146, -17, 334, 171, -27, 286, 180, -37, 249, 177, -49, 356, 274, -11, 323, 324, -24, 301, 355, -37, 284, 382, -47, 388, 291, -17, 374, 360, -28, 363, 403, -40, 357, 440, -50, 419, 290, -28, 422, 358, -42, 420, 400, -57, 418, 437, -68, 448, 275, -40, 464, 324, -54, 472, 357, -62, 479, 388, -69
622, 165, 0, 551, 192, -12, 489, 235, -19, 441, 255, -28, 400, 256, -38, 524, 317, -3, 499, 376, -18, 482, 411, -33, 467, 439, -45, 562, 333, -13, 552, 399, -24, 544, 439, -39, 539, 473, -51, 602, 332, -25, 607, 397, -39, 610, 437, -51, 613, 471, -61, 639, 316, -39, 651, 363, -49, 660, 393, -52, 666, 417, -54
237, 131, 0, 300, 162, -24, 352, 212, -31, 384, 258, -37, 405, 293, -42, 313, 292, -6, 337, 351, -19, 347, 388, -33, 354, 420, -44, 275, 302, -7, 279, 372, -20, 279, 416, -34, 278, 454, -46, 237, 296, -13, 233, 359, -27, 233, 402, -41, 233, 439, -50, 200, 278, -21, 185, 325, -37, 177, 357, -45, 173, 390, -51
